性别,感兴趣课程_0,感兴趣课程_1,感兴趣课程_2,父母对你学习以外的生活干涉程度,父母对你学习的生活干涉程度,父亲每年见面的日子,母亲每年见面的日子,和父亲共处日子里每天的交流,和母亲共处日子里每天的交流,再学习多少年较为合适,你希望成为你父母一样的人吗,是否觉得被父母讨厌,能回忆起多少家庭成员在一起的美好事件数,有没有给家人设计过一些小惊喜,是否对家人表达过感恩,本年级班级数,班级人数,是否有手机,是否有WIFI,语文,数学,英语,道德与法治,历史,地理,生物,总分,班名次,级名次,义务教育家庭经济困难,义务教育阶段学业困难,残疾人家庭子女,单亲家庭子女,离异型家庭子女,IQ.分值,IQ.决策力（次数）,IQ.步数,对老师的满意程度,向老师寻求帮助的频率,与老师的亲密度,理想中的老师,对自己学习成绩的在意程度,课程喜爱程度_语文,课程喜爱程度_数学,课程喜爱程度_英语,课程喜爱程度_历史,课程喜爱程度_地理,课程喜爱程度_政治,课程喜爱程度_生物,课程掌握程度_语文,课程掌握程度_数学,课程掌握程度_英语,课程掌握程度_历史,课程掌握程度_地理,课程掌握程度_政治,课程掌握程度_生物,期望一周上课天数,是否考虑过学习的意义或学习的目的,除了家人外，最亲近的人,除了家人外最亲近的人_开放选项,与朋友交往中倾注了多少感情或多大程度上离不开这些人,是否会时常回忆起与朋友之间的美好往事,是否感恩身边能够有这些老师、朋友的陪伴,对与自己的生活是否满意,遇到烦恼倾诉对象_父母家人,遇到烦恼倾诉对象_同学朋友,遇到烦恼倾诉对象_老师,遇到烦恼倾诉对象_自己化解,遇到烦恼倾诉对象_其他,遇到烦恼倾诉对象_其他_开放选项,时常感觉到生活烦闷不如意吗,最向往的职业,最向往的职业_开放选项,未来生活要素重要程度_美满的家庭,未来生活要素重要程度_富裕的经济条件,未来生活要素重要程度_自己热爱的工作,未来生活要素重要程度_健康的身体,未来生活要素重要程度_明确的奋斗目标,未来生活要素重要程度_其他,未来生活要素重要程度_其他_开放选项,最想改变的性格_更勇敢,最想改变的性格_更自信,最想改变的性格_更乐观,最想改变的性格_更开朗,最想改变的性格_更沉稳,最想改变的性格_更坚强,最想改变的性格_更专注,最想改变的性格_其他,最想改变的性格_其他_开放选项,在学校有没有喜欢的人,碰到喜欢的人会不会勇敢的去表达和追求,自己最出众的优点_没有,自己最出众的优点_我很聪明,自己最出众的优点_我成绩比其他人好,自己最出众的优点_我比其他人有钱,自己最出众的优点_我很受欢迎,自己最出众的优点_我很细心,自己最出众的优点_我长得很帅气/漂亮,自己最出众的优点_我数学比较好,自己最出众的优点_我英语比较好,自己最出众的优点_其他,自己最出众的优点_其他_开放选项,一共有多少兄弟姐妹,兄弟姐妹中排行,是否独生子,FatherStay,MotherStay,FatherComm,MotherComm,语文 (bins),数学 (bins),英语 (bins),道德与法治 (bins),历史 (bins),地理 (bins),生物 (bins),活动期间表达对家人的感激,对于自己生活满意程度,一周上学时间期望,是否喜欢现在的班级,相比其他班最大的特点,学校交流活动是否多,对其他班同学熟悉程度,是否喜欢/认可现在的班主任,是否有非中考科目的课,是否喜欢大多数老师,老师备课是否用心,上课用处,有没有课被中考科目占用,完成作业平均小时,最花时间科目,对小组成员满意程度,对活动总体满意程度,父亲外出打工,父亲打工联系,母亲外出打工,母亲打工联系
女,有关“度量衡”的小设计,秀丽笔：入门到实践,篮球基本战术,5,5,一个月到三个月之间,三个月到半年之间,五小时以上,五小时以上,13,和母亲一样的人,否,5,有过,有过,4,53,我不明白这个问题的意思,有,118,79,109,44,19,30,35,434,36,36,FALSE,TRUE,FALSE,FALSE,FALSE,120,2,20,5,4,4,不布置作业,5,2,7,1,3,6,4,5,2,7,1,3,6,4,5,4,提高能力，适应未来,同学,,5,会,是,5,,,,自己化解,,,5,文艺工作者,,美满的家庭,,,健康的身体,,,,更勇敢,,,更开朗,,,,,,没有,看情况,,,,,,,,,我英语比较好,,,2,1,FALSE,1,2,3,3,115.8,76,107,41.6,17,29.6,31.2,有过,8,3,喜欢,玩,5,3,是,有,喜欢,用心,大,有,3.5,英语,10,10,TRUE,高,TRUE,高
女,有关“度量衡”的小设计,秀丽笔：入门到实践,民族舞/华尔兹舞入门,6,8,一个月到三个月之间,超过九个月,一小时到三小时,五小时以上,13,和父亲一样的人,否,10,有过,有过,4,53,电话手表,有,115,140,142,48,30,41,41,557,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,135,,,9,9,6,负责,10,4,3,2,6,5,1,7,3,2,1,5,6,4,7,5,明确的理想,同学,,9,会,是,10,,同学朋友,,,,,9,科学家,,美满的家庭,,,健康的身体,,,,更勇敢,更自信,更乐观,,更沉稳,,,,,没有,看情况,,,,,,我很细心,,,,,,2,3,FALSE,1,4,1,3,110.6,133.6,137,47.2,27,40.4,40.4,有过,10,5,喜欢,活跃,4,3,是,有,喜欢,用心,大,有,4.5,数学,10,10,TRUE,高,FALSE,
男,心成长,秀丽笔：入门到实践,篮球基本战术,9,10,三个月到半年之间,超过九个月,不超过一个小时,一小时到三小时,11,不想,否,10,还没有过,有过,4,53,只能打电话的按键功能机,有,107,112,128,41,33,40,34,495,14,14,FALSE,FALSE,FALSE,FALSE,FALSE,135,,,9,6,6,善解人意,9,4,2,1,3,6,5,7,3,1,2,7,5,4,6,4,提高能力，适应未来,同学,,8,会,否,9,,,,自己化解,,,5,科学家,,,,,健康的身体,明确的奋斗目标,,,更勇敢,,更乐观,,更沉稳,,更专注,,,没有,看情况,,,,,,,,我数学比较好,,,,1,2,FALSE,2,4,0,1,105.4,108,125,38.8,32,36.8,31.2,还没有,9,4,喜欢,学习好,2,5,是,有,不喜欢,用心,大,没有,3.5,数学,10,10,TRUE,高,FALSE,
女,心成长,摄影入门,篮球基本战术,4,6,三个月到半年之间,超过九个月,三小时到五小时,五小时以上,11,不想,否,6,有过,有过,4,53,我不明白这个问题的意思,没有,98,105,125,36,22,28,28,442,31,31,FALSE,FALSE,FALSE,FALSE,FALSE,,,,10,6,5,知识多，和蔼,10,2,4,1,7,6,3,5,5,6,1,7,3,2,4,4,更好的工作,同学,,6,会,否,6,,,,自己化解,,,5,医生,,,,自己热爱的工作,,明确的奋斗目标,,,,更自信,,,,,,,,有,看情况,没有,,,,,,,,,,,1,2,FALSE,2,4,2,3,95,101.6,125,36,22,26,26.6,还没有,10,4,喜欢,环境好,3,3,是,有,喜欢,用心,大,没有,3.5,数学,10,10,TRUE,高,TRUE,高
女,心成长,摄影入门,民族舞/华尔兹舞入门,6,6,三个月到半年之间,超过九个月,五小时以上,五小时以上,11,不想,否,10,有过,有过,4,53,电话手表,有,120,132,142,47,29,42,37,549,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,130,,,5,5,5,幽默,10,3,7,1,6,4,2,5,3,2,1,6,5,4,7,5,提高能力，适应未来,同学,,10,会,是,6,,同学朋友,,,,,4,教师,,,,,健康的身体,明确的奋斗目标,,,更勇敢,更自信,,,,更坚强,更专注,,,没有,看情况,,,,,,,,,我英语比较好,,,2,1,FALSE,2,4,3,3,115.8,127.2,137,44.4,27,40.4,35.8,有过,6,5,喜欢,纯洁,3,3,是,有,喜欢,用心,大,有,3.5,数学,10,10,TRUE,高,FALSE,
女,有关“度量衡”的小设计,秀丽笔：入门到实践,民族舞/华尔兹舞入门,10,6,超过九个月,超过九个月,一小时到三小时,三小时到五小时,13,不想,否,7,有过,有过,204,54,电话手表,有,79,121,121,43,25,29,26,444,30,30,FALSE,FALSE,FALSE,FALSE,FALSE,70,,,10,10,8,和蔼可亲的,10,2,5,1,3,6,4,7,2,5,1,7,3,4,6,5,更好的工作,同学,,9,会,是,10,父母家人,同学朋友,,,,,7,科学家,,美满的家庭,,,健康的身体,,,,更勇敢,更自信,更乐观,更开朗,,更坚强,,,,没有,看情况,,,,,我很受欢迎,我很细心,,,我英语比较好,,,3,2,FALSE,4,4,1,2,74.2,120.8,119,41.6,22,26,22,有过,9,5,喜欢,学习比其它班好,2,5,否,有,喜欢,用心,大,有,2.5,英语,10,10,TRUE,高,FALSE,
女,有关“度量衡”的小设计,秀丽笔：入门到实践,民族舞/华尔兹舞入门,5,5,一个月到三个月之间,超过九个月,一小时到三小时,一小时到三小时,11,不想,否,7,有过,有过,4,53,电话手表,有,93,116,105,46,19,33,30,442,31,31,FALSE,FALSE,FALSE,FALSE,FALSE,,,,6,5,6,作业少，不爱打人,8,2,1,3,6,7,4,5,3,1,2,7,6,4,5,3,更好的工作,同学,,5,会,否,8,父母家人,同学朋友,,自己化解,,,3,科学家,,美满的家庭,,,健康的身体,,,,更勇敢,更自信,,,更沉稳,更坚强,更专注,,,没有,看情况,,,,,,,,我数学比较好,,,,3,1,FALSE,1,4,1,1,89.8,114.4,101,44.4,17,29.6,26.6,有过,8,4,喜欢,学习好,3,3,是,有,喜欢,用心,大,有,3.5,数学,8,10,TRUE,高,FALSE,
女,有关“度量衡”的小设计,秀丽笔：入门到实践,民族舞/华尔兹舞入门,6,6,一个月到三个月之间,超过九个月,五小时以上,五小时以上,13,不想,否,1,有过,有过,4,52,电话手表,有,89,130,132,45,25,44,36,501,12,12,FALSE,FALSE,FALSE,FALSE,FALSE,,,,7,5,4,不拖堂，不占课，不打人,10,4,2,1,6,3,5,7,5,1,2,7,3,4,6,5,更好的工作,同学,,5,会,否,8,父母家人,同学朋友,老师,,,,4,其他,歌手,美满的家庭,,,健康的身体,,,,更勇敢,,更乐观,更开朗,,,,,,没有,看情况,没有,,,,,,,,,,,3,2,FALSE,1,4,3,3,84.6,127.2,131,44.4,22,40.4,35.8,有过,7,5,喜欢,学习好,4,5,是,有,喜欢,用心,大,有,4.5,数学,10,10,TRUE,高,FALSE,
女,心成长,秀丽笔：入门到实践,篮球基本战术,7,6,一个月到三个月之间,超过九个月,一小时到三小时,五小时以上,13,不想,否,6,有过,有过,4,53,电话手表,有,89,113,121,48,36,38,36,481,20,20,FALSE,FALSE,FALSE,FALSE,FALSE,,,,10,5,7,和蔼可亲,7,5,4,3,1,6,2,7,4,1,2,3,5,6,7,4,明确的理想,同学,,9,会,是,5,,,,自己化解,,,3,教师,,,,,健康的身体,明确的奋斗目标,,,更勇敢,更自信,,,更沉稳,更坚强,,,,没有,看情况,没有,,,,,,,,,,,2,1,FALSE,1,4,1,3,84.6,108,119,47.2,32,36.8,35.8,有过,7,5,喜欢,学习风气好,4,3,是,有,喜欢,用心,大,没有,2.5,数学,7,9,TRUE,低,TRUE,高
女,心成长,摄影入门,民族舞/华尔兹舞入门,5,6,超过九个月,超过九个月,不超过一个小时,一小时到三小时,2,不想,否,10,有过,有过,4,53,只能打电话的按键功能机,有,,,,,,,,,,,,,,,,120,,,6,4,4,温柔 不打人,7,6,4,5,1,2,7,3,3,2,1,7,4,5,6,4,明确的理想,同学,,10,会,是,5,,,,自己化解,,,10,文艺工作者,,美满的家庭,,自己热爱的工作,,,,,更勇敢,更自信,更乐观,更开朗,更沉稳,更坚强,更专注,,,没有,看情况,,,,,,我很细心,我长得很帅气/漂亮,,,其他,胆大,1,2,FALSE,4,4,0,1,,,,,,,,有过,10,4,喜欢,胆大,2,1,是,有,喜欢,用心,大,有,4.5,数学,10,10,FALSE,,FALSE,
男,有关“度量衡”的小设计,秀丽笔：入门到实践,篮球基本战术,5,5,三个月到半年之间,半年到九个月之间,一小时到三小时,一小时到三小时,9,不想,否,6,有过,有过,4,53,电话手表,有,87,110,118,39,26,38,37,455,27,27,TRUE,FALSE,FALSE,FALSE,FALSE,135,,,10,6,10,严厉,9,4,1,5,2,6,3,7,4,1,5,2,6,3,7,5,明确的理想,同学,,5,会,是,10,父母家人,同学朋友,老师,自己化解,,,1,科学家,,美满的家庭,,,健康的身体,,,,更勇敢,,,更开朗,,更坚强,,,,有,不敢,,我很聪明,我成绩比其他人好,,,,我长得很帅气/漂亮,我数学比较好,,,,2,2,FALSE,2,3,1,1,84.6,108,113,38.8,22,36.8,35.8,有过,10,5,喜欢,教学资源好,3,5,是,有,喜欢,用心,大,有,3.5,语文,10,10,TRUE,高,TRUE,高
女,心成长,秀丽笔：入门到实践,民族舞/华尔兹舞入门,5,5,半年到九个月之间,超过九个月,一小时到三小时,一小时到三小时,11,不想,否,5,有过,有过,4,53,电话手表,有,102,98,114,44,25,39,38,460,26,26,FALSE,FALSE,FALSE,FALSE,FALSE,,,,5,4,5,幽默风趣,10,1,7,4,2,5,3,6,1,7,4,2,5,3,6,4,更好的工作,同学,,7,会,是,6,,同学朋友,,,,,8,教师,,美满的家庭,,自己热爱的工作,,,,,更勇敢,更自信,,,,更坚强,,,,没有,看情况,,,,,,,,,,其他,语文比较好,2,1,FALSE,3,4,1,1,100.2,95.2,113,41.6,22,36.8,35.8,有过,7,4,喜欢,全是优秀人才,3,3,是,没有,喜欢,用心,大,没有,3.5,数学,7,10,TRUE,高,FALSE,
男,有关“度量衡”的小设计,秀丽笔：入门到实践,民族舞/华尔兹舞入门,4,4,一个月到三个月之间,半年到九个月之间,五小时以上,五小时以上,2,和父亲一样的人,否,5,有过,有过,4,53,只能打电话的按键功能机,有,103,91,109,47,28,32,39,449,29,29,FALSE,FALSE,TRUE,FALSE,FALSE,105,2,16,9,5,5,英俊,6,1,3,4,5,6,2,7,1,2,3,6,4,7,5,4,更好的工作,同学,,6,会,否,6,父母家人,同学朋友,老师,,,,7,政府工作人员,,,富裕的经济条件,自己热爱的工作,,,,,更勇敢,更自信,,更开朗,,更坚强,,,,没有,不敢,,,,,,我很细心,,,,,,1,2,FALSE,1,3,3,3,100.2,88.8,107,44.4,27,29.6,35.8,有过,6,4,喜欢,学习好,3,3,是,有,喜欢,用心,大,有,3.5,英语,6,10,TRUE,高,FALSE,
女,心成长,摄影入门,民族舞/华尔兹舞入门,7,3,半年到九个月之间,超过九个月,三小时到五小时,五小时以上,9,和母亲一样的人,否,6,有过,有过,4,53,只能打电话的按键功能机,有,92,93,110,42,30,39,45,451,28,28,FALSE,FALSE,FALSE,FALSE,FALSE,,,,5,5,4,人好，幽默,10,4,5,1,6,2,3,7,4,3,1,6,2,5,7,5,更好的工作,同学,,5,会,否,7,父母家人,同学朋友,,,,,5,教师,,美满的家庭,,,健康的身体,,,,更勇敢,,,,更沉稳,,,,,没有,看情况,没有,,,,,,,,,,,4,1,FALSE,3,4,2,3,89.8,88.8,107,41.6,27,36.8,40.4,有过,6,4,喜欢,全是优秀人才,3,3,是,没有,喜欢,用心,大,有,3.5,数学,6,10,TRUE,高,FALSE,
女,有关“度量衡”的小设计,摄影入门,篮球基本战术,6,6,半年到九个月之间,超过九个月,三小时到五小时,三小时到五小时,13,不想,否,7,有过,有过,4,52,我不明白这个问题的意思,有,81,131,124,39,21,34,25,455,27,27,FALSE,FALSE,FALSE,FALSE,FALSE,,,,8,5,3,和蔼,10,7,2,1,3,6,4,5,3,1,2,7,6,4,5,4,更好的工作,同学,,8,会,是,8,,同学朋友,,,,,4,律师（等法律工作者）,,美满的家庭,,自己热爱的工作,,,,,更勇敢,更自信,,,更沉稳,,,,,没有,不敢,没有,,,,,,,,,,,1,2,FALSE,3,4,2,2,79.4,127.2,119,38.8,17,33.2,22,还没有,5,4,喜欢,学习比较好,3,2,是,有,喜欢,用心,大,有,3.5,数学,10,10,TRUE,低,FALSE,
男,有关“度量衡”的小设计,秀丽笔：入门到实践,篮球基本战术,3,5,超过九个月,超过九个月,五小时以上,一小时到三小时,2,和父亲一样的人,否,3,有过,有过,0,0,我不明白这个问题的意思,有,94,101,83,41,26,33,33,411,40,41,FALSE,FALSE,FALSE,FALSE,FALSE,120,7,34,5,6,6,和蔼,8,1,4,5,7,2,3,6,4,6,5,7,1,2,3,5,明确的理想,同学,,10,会,是,10,父母家人,同学朋友,老师,,,,4,文艺工作者,,美满的家庭,,,健康的身体,,,,更勇敢,更自信,更乐观,,,更坚强,,,,没有,不敢,,,,,,我很细心,,,我英语比较好,,,1,2,FALSE,4,4,3,1,89.8,95.2,83,38.8,22,29.6,31.2,有过,10,7,喜欢,好学,3,3,是,没有,喜欢,用心,大,有,3.5,英语,10,7,TRUE,高,FALSE,
男,有关“度量衡”的小设计,秀丽笔：入门到实践,篮球基本战术,5,9,超过九个月,超过九个月,一小时到三小时,一小时到三小时,9,和父亲一样的人,否,9,还没有过,有过,4,53,我不明白这个问题的意思,有,,134,116,44,23,40,38,395,43,45,FALSE,FALSE,FALSE,FALSE,FALSE,,,,9,3,8,和蔼可亲，富有幽默感,6,5,2,3,1,4,6,7,6,1,2,7,3,5,4,5,更好的工作,同学,,8,会,否,8,父母家人,同学朋友,,自己化解,,,7,医生,,,,自己热爱的工作,健康的身体,,,,,更自信,,,更沉稳,更坚强,,,,没有,看情况,,,,,,,,我数学比较好,,,,1,2,FALSE,4,4,1,1,,133.6,113,41.6,22,36.8,35.8,有过,8,4,喜欢,学习成绩好，学习环境好,2,3,是,有,喜欢,用心,大,没有,2.5,英语,8,10,TRUE,高,FALSE,
女,心成长,秀丽笔：入门到实践,篮球基本战术,5,5,半年到九个月之间,超过九个月,五小时以上,五小时以上,13,和父亲一样的人,否,8,有过,有过,4,53,只能打电话的按键功能机,有,89,110,129,43,22,36,32,461,25,25,FALSE,FALSE,FALSE,FALSE,FALSE,90,3,,10,6,3,沙雕,6,2,3,1,7,4,5,6,2,3,1,4,6,7,5,1,明确的理想,同学,,6,会,是,7,,同学朋友,,自己化解,,,5,医生,,美满的家庭,,自己热爱的工作,,,,,,更自信,,,,,,,,没有,看情况,,,,,,我很细心,,,,,,2,2,FALSE,3,4,3,3,84.6,108,125,41.6,22,33.2,31.2,有过,8,5,不喜欢,学习好,3,2,是,有,喜欢,用心,大,有,4.5,数学,3,10,TRUE,低,TRUE,高
女,心成长,摄影入门,民族舞/华尔兹舞入门,3,3,一个月以下,一个月以下,一小时到三小时,一小时到三小时,13,不想,否,6,有过,有过,4,53,只能打电话的按键功能机,有,99,132,140,45,28,35,43,522,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,,,,8,6,4,温柔,9,3,2,1,4,5,7,6,3,2,1,7,5,4,6,4,明确的理想,同学,,5,会,是,5,,同学朋友,,,,,5,文艺工作者,,美满的家庭,,,健康的身体,,,,,更自信,,,更沉稳,,更专注,,,没有,看情况,,,,,,,,,我英语比较好,,,2,2,FALSE,0,0,1,1,95,127.2,137,44.4,27,33.2,40.4,有过,6,4,喜欢,比较优秀,3,3,是,有,喜欢,用心,大,有,2.5,数学,6,10,TRUE,高,TRUE,高
男,有关“度量衡”的小设计,摄影入门,篮球基本战术,6,7,超过九个月,超过九个月,五小时以上,五小时以上,11,不想,否,8,有过,有过,4,53,电话手表,有,90,107,123,42,18,38,43,461,25,25,FALSE,FALSE,FALSE,FALSE,FALSE,,,,10,5,4,脾气好,7,4,2,1,7,6,3,5,4,3,2,7,5,1,6,5,明确的理想,同学,,6,会,是,8,父母家人,,,自己化解,,,3,文艺工作者,,美满的家庭,,,健康的身体,,,,更勇敢,更自信,,,更沉稳,,更专注,,,没有,看情况,,我很聪明,,,,,,,我英语比较好,,,1,1,FALSE,4,4,3,3,89.8,101.6,119,41.6,17,36.8,40.4,有过,8,5,喜欢,学习好,4,3,是,没有,喜欢,用心,大,没有,2.5,历史,7,10,TRUE,高,FALSE,
女,心成长,摄影入门,篮球基本战术,6,5,半年到九个月之间,超过九个月,三小时到五小时,三小时到五小时,9,和母亲一样的人,否,6,有过,有过,4,53,我不明白这个问题的意思,有,77,76,109,44,19,26,28,379,44,50,FALSE,TRUE,FALSE,FALSE,FALSE,120,6,19,8,6,5,负责任,8,4,1,2,6,5,3,7,4,1,2,7,5,3,6,5,明确的理想,同学,,7,会,是,8,,,,自己化解,,,5,教师,,美满的家庭,,,健康的身体,,,,更勇敢,更自信,,,更沉稳,,,,,没有,看情况,没有,,,,,,,,,,,3,2,FALSE,3,4,2,2,74.2,76,107,41.6,17,26,26.6,有过,8,5,喜欢,学习,3,4,是,有,喜欢,用心,大,没有,2.5,数学,7,10,TRUE,高,FALSE,
男,有关“度量衡”的小设计,摄影入门,篮球基本战术,5,5,三个月到半年之间,一个月以下,一小时到三小时,不超过一个小时,9,不想,否,5,有过,有过,4,53,电话手表,有,87,116,110,43,25,40,39,460,26,26,TRUE,TRUE,FALSE,FALSE,TRUE,135,4,,10,5,10,完美,5,7,1,6,4,2,5,3,7,1,6,5,2,3,4,5,提高能力，适应未来,同学,,8,会,否,10,,,,自己化解,,,1,其他,宇航员,美满的家庭,,,,明确的奋斗目标,,,更勇敢,,,,,更坚强,,,,有,看情况,,,,,,,,我数学比较好,,,,0,0,TRUE,2,0,1,0,84.6,114.4,107,41.6,22,36.8,35.8,有过,10,5,喜欢,学习好,3,4,是,没有,喜欢,用心,大,有,2.5,英语,10,10,TRUE,高,TRUE,低
男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,7,和蔼可亲,8,4,2,3,1,6,5,7,3,2,1,4,6,5,7,5,更好的工作,同学,,6,会,否,7,,同学朋友,,自己化解,,,7,科学家,,美满的家庭,富裕的经济条件,,,,,,更勇敢,更自信,更乐观,更开朗,更沉稳,更坚强,更专注,,,没有,看情况,没有,,,,,,,,,,,0,0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男,有关“度量衡”的小设计,秀丽笔：入门到实践,篮球基本战术,5,8,一个月到三个月之间,三个月到半年之间,一小时到三小时,三小时到五小时,11,不想,否,6,有过,有过,4,53,安卓手机（可以打王者荣耀/吃鸡的手机）,有,100,114,106,41,41,40,34,476,21,21,FALSE,FALSE,FALSE,FALSE,FALSE,,,,10,10,10,和蔼可亲,10,5,1,7,2,3,4,6,6,5,7,4,3,2,1,1,明确的理想,同学,,10,会,是,10,父母家人,,,,,,5,科学家,,美满的家庭,,,,明确的奋斗目标,,,更勇敢,更自信,更乐观,更开朗,更沉稳,更坚强,更专注,,,没有,看情况,,,,,我很受欢迎,,,,,,,3,3,FALSE,1,2,1,2,95,108,101,38.8,37,36.8,31.2,有过,10,6,喜欢,学习好,5,2,是,有,喜欢,用心,大,有,3.5,数学,10,10,TRUE,低,TRUE,高
女,心成长,摄影入门,民族舞/华尔兹舞入门,5,5,三个月到半年之间,超过九个月,三小时到五小时,五小时以上,2,不想,否,10,有过,有过,4,53,安卓手机（可以打王者荣耀/吃鸡的手机）,有,92,104,125,36,22,30,35,444,30,30,FALSE,FALSE,FALSE,FALSE,FALSE,135,,,7,4,5,不拖堂，不打人,10,5,6,7,1,4,2,3,3,2,1,7,6,4,5,4,明确的理想,同学,,6,会,是,6,父母家人,同学朋友,,自己化解,,,2,教师,,美满的家庭,,,健康的身体,,,,更勇敢,,更乐观,更开朗,,更坚强,,,,没有,看情况,没有,,,,,,,,,,,1,2,FALSE,2,4,2,3,89.8,101.6,125,36,22,29.6,31.2,,,,,,,,,,,,,,,,,,,,,
男,有关“度量衡”的小设计,摄影入门,篮球基本战术,5,5,一个月以下,超过九个月,一小时到三小时,五小时以上,9,不想,否,5,有过,有过,4,53,我不明白这个问题的意思,有,87,114,96,42,23,41,35,438,32,32,FALSE,FALSE,FALSE,FALSE,FALSE,,,,6,3,6,和谒,5,2,1,6,7,3,4,5,3,1,6,7,4,2,5,4,提高能力，适应未来,同学,,5,会,否,5,,同学朋友,,自己化解,,,5,科学家,,美满的家庭,,自己热爱的工作,,,,,更勇敢,,更乐观,更开朗,,更坚强,,,,没有,看情况,,,,,,我很细心,,我数学比较好,,,,2,2,FALSE,0,4,1,3,84.6,108,95,41.6,22,40.4,31.2,有过,6,4,喜欢,女生人数多,3,5,是,有,喜欢,用心,大,有,2.5,数学,10,10,TRUE,高,FALSE,
男,心成长,秀丽笔：入门到实践,篮球基本战术,6,1,超过九个月,超过九个月,不超过一个小时,三小时到五小时,11,不想,否,6,有过,有过,4,53,我不明白这个问题的意思,有,83,98,90,40,29,38,41,419,38,39,TRUE,FALSE,FALSE,FALSE,FALSE,135,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,2,79.4,95.2,89,38.8,27,36.8,40.4,有过,10,5,喜欢,学习好,4,3,是,有,喜欢,用心,大,有,1.5,英语,10,10,TRUE,高,FALSE,
